name,quote
P. J. O'Rourke,"When buying and selling are controlled by legislation, the first things to be bought and sold are legislators."
P. J. O'Rourke,With Epcot Center the Disney corporation has accomplished something I didn't think possible in today's world. They have created a land of make-believe that's worse than regular life.
P. J. O'Rourke,"There's a whiff of the lynch mob or the lemming migration about any overlarge concentration of like-thinking individuals, no matter how virtuous their cause."
P. J. O'Rourke,The purpose of a funeral service is to comfort the living. It is important at a funeral to display excessive grief. This will show others how kind-hearted and loving you are and their improved opinion of you will be very comforting.
Barack Obama,"Abraham Lincoln and Millard Fillmore had the same title. They were both presidents of the United States, but their tenure in office and their legacy could not be more different."
Barack Obama,"Acts of sacrifice and decency without regard to what's in it for you create ripple effects. Ones that lift up families and communities, that spread opportunity and boost our economy."
Barack Obama,Find somebody to be successful for. Raise their hopes. Think of their needs.
Barack Obama,"I know starting careers in troubled times is a challenge, but it is also a privilege. Because it's moments like these that force us to try harder, dig deeper and to discover gifts we never knew we had. To find the greatness that lies within each of us. So don't ever shy away from that endeavor. Don't stop adding to your body of work. I can promise that you will be the better for that continued effort as will be this nation that we all love."
Barack Obama,"I've come to embrace the notion that I haven't done enough in my life. I've come to confirm that one's title, even a title like president of the United States, says very little about how well one's life has been led. No matter how much you've done or how successful you've been, there's always more to do, always more to learn, and always more to achieve."
Barack Obama,"In recent years, we've become enamored with our own past success. Lulled into complacency by the glitter of our own achievements. We've become accustomed to the title of Military Superpower, forgetting the qualities that got us there. We've become accustomed to our economic dominance in the world, forgetting that it wasn't reckless deals and get rich quick schemes that got us where we are, but hard work and smart ideas, quality products and wise investments."
Barack Obama,"In this new, hyper competitive age, none of us, none of us can afford to be complacent."
Barack Obama,"That is the American story. People, just like you, following their passions, determined to meet the times on their own terms. They weren't doing it for the money. Their titles weren't fancy. But they changed the course of history and so can you."
Barack Obama,"That's what building a body of work is all about. It's about the daily labor, the many individual acts, the choices large and small that add up over time, over a lifetime to a lasting legacy. It's about not being satisfied with the latest achievement, the latest gold star, because the one thing I know about a body of work is that it's never finished. It's cumulative. It deepens and expands with each day you give your best. You may have setbacks and you may have failures, but you're not done. You haven't even started."
Barack Obama,"The elevation of appearance over substance, of celebrity over character, of short term gains over lasting achievement displays a poverty of ambition. It distracts you from what's truly important."
Barack Obama,"The leaders we revere and the businesses that last are generally not the result of a narrow pursuit of popularity or personal advancement, but of devotion to some bigger purpose. That's the hallmark of real success. The other trapping of success might be the by product of this larger mission, but it can't be the central thing."
Barack Obama,"We too often let the material things serve as indicators that we're doing well, even though something inside us tells us that were not doing our best. That we are avoiding that which is hard, but also necessary. That we are shrinking from rather than vising to the challenges of the age."
Barack Obama,You can't rest on your laurels. Your own body of work is yet to come.
Barack Obama,I will never forget who this victory truly belongs to. It belongs to you. It belongs to you. I was never the likeliest candidate for this office. We didn't start with much money or many endorsements. Our campaign was not hatched in the halls of Washington. It began in the backyards of Des Moines and the living rooms of Concord and the front porches of Charleston. It was built by working men and women who dug into what little savings they had to give $5 and $10 and $20 to the cause.
Barack Obama,"If there is anyone out there who still doubts that America is a place where all things are possible, who still wonders if the dream of our founders is alive in our time, who still questions the power of our democracy, tonight is your answer."
Barack Obama,"There's new energy to harness, new jobs to be created, new schools to build, and threats to meet, alliances to repair."
Barack Obama," The road ahead will be long. Our climb will be steep. We may not get there in one year or even in one term. But, America, I have never been more hopeful than I am tonight that we will get there. I promise you, we as a people will get there."
Barack Obama, There will be setbacks and false starts. There are many who won't agree with every decision or policy I make as president. And we know the government can't solve every problem.
Barack Obama," But I will always be honest with you about the challenges we face. I will listen to you, especially when we disagree. And, above all, I will ask you to join in the work of remaking this nation, the only way it's been done in America for 221 years — block by block, brick by brick, calloused hand by calloused hand."
Barack Obama,It was a creed written into the founding documents that declared the destiny of a nation.
Barack Obama, Yes we can.
Barack Obama, It was whispered by slaves and abolitionists as they blazed a trail towards freedom through the darkest of nights.
Barack Obama, Yes we can.
Barack Obama, It was sung by immigrants as they struck out from distant shores and pioneers who pushed westward against an unforgiving wilderness.
Barack Obama, Yes we can.
Barack Obama,"We have been told we cannot do this by a chorus of cynics. They will only grow louder and more dissonant in the weeks to come. We've been asked to pause for a reality check; we've been warned against offering the people of this nation false hope. But in the unlikely story that is America, there has never been anything false about hope."
Barack Obama,"America, we are better than these last eight years. We are a better country than this."
Barack Obama,We are here because we love this country too much to let the next four years look like the last eight.
Georgia O'Keeffe,"I said to myself, I have things in my head that are not like what anyone has taught me - shapes and ideas so near to me - so natural to my way of being and thinking that it hasn't occurred to me to put them down. I decided to start anew, to strip away what I had been taught."
Georgia O'Keeffe,"Nobody sees a flower - really - it is so small it takes time - we haven't time - and to see takes time, like to have a friend takes time."
Jane O'Reilly,"Maybe the greatest challenge now is to find a way to keep independence while also committing ourselves to the ties that bind people, families, and ultimately societies together."
Austin O'Malley,Those that think it permissible to tell white lies soon grow color blind.
Caldwell O'Keefe,I never have found the perfect quote. At best I have been able to find a string of quotations which merely circle the ineffable idea I seek to express.
Mary O'Hara,"Love cannot survive if you just give it scraps of yourself, scraps of your time, scraps of your thoughts."
Sean O'Faolain,"There is only one admirable form of the imagination: the imagination that is so intense that it creates a new reality, that it makes things happen."
Kane O'Hara,"When the judgement's weak,"
Kane O'Hara, The prejudice is strong.
Flannery O'Connor,Everywhere I go I'm asked if I think the university stifles writers. My opinion is that they don't stifle enough of them. There's many a best-seller that could have been prevented by a good teacher.
Flannery O'Connor,The truth does not change according to our ability to stomach it.
Conan O'Brien,"Nobody in life gets exactly what they thought they were going to get. But if you work really hard and you’re kind, amazing things will happen."
Conan O'Brien,"Please do not be cynical. I hate cynicism. For the record, it’s my least favorite quality. It doesn’t lead anywhere."
Rosie O'Donnell,"I think the promise of fame and what it holds to you as a child and dreaming of it is not what it is. What it is, I'm not complaining about, but it's just different than the reality you dreamed."
Rosie O'Donnell,"It's going to come true like you knew it, but it's not going to feel like you think."
Sean O'Casey,All the world's a stage and most of us are desperately unrehearsed.
Sean O'Casey,Every action of our lives touches on some chord that will vibrate in eternity.
Sean O'Casey,No man is so old as to believe he cannot live one more year.
Narenda Rocherolle,Aspiring to a small business that does what it does very well is a noble pursuit.
Francois de La Rochefoucauld,"A true friend is the greatest of all blessings, and that which we take the least care of all to acquire."
Francois de La Rochefoucauld,All of us have sufficient fortitude to bear the misfortunes of others.
Francois de La Rochefoucauld,"Before we set our hearts too much upon anything, let us examine how happy those are who already possess it."
Francois de La Rochefoucauld,Behind many acts that are thought ridiculous there lie wise and weighty motives.
Francois de La Rochefoucauld,"Few are agreeable in conversation, because each thinks more of what he intends to say than of what others are saying, and listens no more when he himself has a chance to speak."
Francois de La Rochefoucauld,"Few things are impracticable in themselves; and it is for want of application, rather than of means, that men fail to succeed."
Francois de La Rochefoucauld,Good advice is something a man gives when he is too old to set a bad example.
Francois de La Rochefoucauld,Gratitude is merely the secret hope of further favors.
Francois de La Rochefoucauld,He who lives without folly isn't so wise as he thinks.
Francois de La Rochefoucauld,Hypocrisy is the homage which vice pays to virtue.
Francois de La Rochefoucauld,"If we had no faults of our own, we would not take so much pleasure in noticing those of others."
Francois de La Rochefoucauld,It is as common for tastes to change as it is uncommon for traits of character.
Francois de La Rochefoucauld,It is often merely for an excuse that we say things are impossible.
Francois de La Rochefoucauld,"Jealousy feeds upon suspicion, and it turns into fury or it ends as soon as we pass from suspicion to certainty."
Francois de La Rochefoucauld,"Many people despise wealth, but few know how to give it away."
Francois de La Rochefoucauld,"No persons are more frequently wrong, than those who will not admit they are wrong."
Francois de La Rochefoucauld,"Nothing is less sincere than our mode of asking and giving advice. He who asks seems to have a deference for the opinion of his friend, while he only aims to get approval of his own and make his friend responsible for his action. And he who gives advice repays the confidence supposed to be placed in him by a seemingly disinterested zeal, while he seldom means anything by his advice but his own interest or reputation."
Francois de La Rochefoucauld,One cannot answer for his courage when he has never been in danger. 
Francois de La Rochefoucauld,Our repentance is not so much regret for the ill we have done as fear of the ill that may happen to us in consequence.
Francois de La Rochefoucauld,Perfect courage means doing unwitnessed what he would be capable of with the world looking on.
Sylvia Robinson,Some think it's holding on that makes one strong; sometimes it's letting go.
Spider Robinson,Time didn't pass; it tailgated.
Josephine demott Robinson,My one aim was to do a thing well and to excel if possible.
Corinne Roosevelt Robinson,Is life worth living?
Corinne Roosevelt Robinson," Aye, with the best of us,"
Corinne Roosevelt Robinson," Heights of us, depths of us - "
Corinne Roosevelt Robinson, Life is the test of us!
Haddon W. Robinson,What worries you masters you.
Maximilien Robespierre,"Crime butchers innocence to secure a throne, and innocence struggles with all its might against the attempts of crime."
Pat Robertson,"[Feminism is] a socialist, anti-family, political movement that encourages women to leave their husbands, kill their children, practice witchcraft, destroy capitalism and become lesbians."
Frederick William Robertson,"The true aim of everyone who aspires to be a teacher should be, not to impart his own opinions, but to kindle minds."
Frederick William Robertson,"This world is given as the prize for the men in earnest; and that which is true of this world, is truer still of the world to come."
Mark Roberts,"Don't waste too much time trying' to be a better man, ' cause you ain't never gonna be one without a good woman."
Marquis de Flers Robert and Arman de Caillavet,Democracy is the name we give the people whenever we need them.
Tony Robbins,Action is the foundational key to all success.
Tom Robbins,Disbelief in magic can force a poor soul into believing in government and business.
Tom Robbins,"Humanity has advanced, when it has advanced, not because it has been sober, responsible, and cautious, but because it has been playful, rebellious, and immature."
Tom Robbins,"If little else, the brain is an educational toy."
Joan Rivers,"A man can sleep around, no questions asked, but if a woman makes nineteen or twenty mistakes she's a tramp."
Joan Rivers,"The first time I see a jogger smiling, I'll consider it."
Antione De Riveral,The sword of justice has no scabbard.
James Rippe,"Exercise alone provides psychological and physical benefits. However, if you also adopt a strategy that engages your mind while you exercise, you can get a whole host of psychological benefits fairly quickly."
Rainer Maria Rilke,Do not believe that he who seeks to comfort you lives untroubled among the simple and quiet words that sometimes do you good. His life has much difficulty... Were it otherwise he would never have been able to find those words.
Rainer Maria Rilke,Everything terrible is something that needs our love.
Rainer Maria Rilke,"For one human being to love another; that is perhaps the most difficult of all our tasks, the ultimate, the last test and proof, the work for which all other work is but preparation."
Rainer Maria Rilke,"If your daily life seems poor, do not blame it; blame yourself, tell yourself that you are not poet enough to call forth its riches."
Rainer Maria Rilke,I live not in dreams but in contemplation of a reality that is perhaps the future.
Sally Ride,You have to reach a level of comfort with that risk.
Hyman Rickover,Good ideas are not adopted automatically. They must be driven into practice with courageous patience.
Branch Rickey,Luck is the residue of design.
Eddie Rickenbacker,Courage is doing what you're afraid to do. There can be no courage unless you're scared.
Joseph Rickaby,"A great preservative against angry and mutinous thoughts, and all impatience and quarreling, is to have some great business and interest in your mind, which, like a sponge shall suck up your attention and keep you from brooding over what displeases you."
Jean Paul Richter,"A timid person is frightened before a danger, a coward during the time, and a courageous person afterward."
Jean Paul Richter,"A timid person is frightened before a danger, a coward during the time, and a courageous person afterwards."
Jean Paul Richter,Do not wait for extraordinary circumstances to do good; try to use ordinary situations.
Jean Paul Richter,"Flowers never emit so sweet and strong a fragrance as before a storm. When a storm approaches thee, be as fragrant as a sweet-smelling flower."
Jean Paul Richter,Never part without loving words to think of during your absence. It may be that you will not meet again in life.
Jean Paul Richter,No one is more profoundly sad than he who laughs too much.
Jean Paul Richter,Only actions give life strength; only moderation gives it a charm.
Keith Richman,Never forget that you're a member of your own community. Don't do something that you wouldn't like to see done.
Sir Ralph Richardson,Acting is merely the art of keeping a large group of people from coughing.
David Richerby,The tooth fairy teaches children that they can sell body parts for money.
Samuel Richardson,Good men must be affectionate men.
M. C. Richards,All the arts we practice are apprenticeship. The big art is our life.
M. C. Richards,Poetry often enters through the window of irrelevance.
Ann Richards,"I believe in recovery, and I believe that as a role model I have the responsibility to let young people know that you can make a mistake and come back from it."
Ann Richards,I feel very strongly that change is good because it stirs up the system.
Ann Richards,"I get a lot of cracks about my hair, mostly from men who don't have any."
Ann Richards,"I have very strong feelings about how you lead your life. You always look ahead, you never look back."
Ann Richards,"I've always said that in politics, your enemies can't hurt you, but your friends will kill you."
Ann Richards,"If you think taking care of yourself is selfish, change your mind. If you don't, you're simply ducking your responsibilities."
Ann Richards,"Teaching was the hardest work I had ever done, and it remains the hardest work I have done to date."
Ann Richards,"The here and now is all we have, and if we play it right it's all we'll need."
Ann Richards,"The public does not like you to mislead or represent yourself to be something you're not. And the other thing that the public really does like is the self-examination to say, you know, I'm not perfect. I'm just like you. They don't ask their public officials to be perfect. They just ask them to be smart, truthful, honest, and show a modicum of good sense."
Ann Richards,There is a lot more to life than just struggling to make money.
Ann Richards,They blame the low income women for ruining the country because they are staying home with their children and not going out to work. They blame the middle income women for ruining the country because they go out to work and do not stay home to take care of their children.
Ann Richards,"I'm really glad that our young people missed the Depression, and missed the great big war. But I do regret that they missed the leaders that I knew. Leaders who told us when things were tough, and that we would have to sacrifice, and these difficulties might last awhile. They didn't tell us things were hard for us because we were different, or isolated, or special interests. They brought us together and they gave us a sense of national purpose."
Susan Rice,"If you want change, you have to make it. If we want progress we have to drive it."
Susan Rice,"Once you've learned to study in a bathing suit on the grass with muscled men throwing frisbees over your head, you can accomplish almost anything."
Susan Rice,"Progress is the product of human agency. Things get better because we make them better. Things go wrong when we get too comfortable, when we fail to take risks or seize opportunities."
Grantland Rice,For when the One Great Scorer comes
Grantland Rice," To write against your name,"
Grantland Rice, He marks-not that you won or lost-
Grantland Rice, But how you played the game.
Condoleeza Rice,"Life is full of surprises and and serendipity. Being open to unexpected turns in the road is an important part of success. If you try to plan every step, you may miss those wonderful twists and turns. Just find your next adventure-do it well, enjoy it-and then, not now, think about what comes next."
Anne Rice,Evil is always possible. Goodness is a difficulty.
Anne Rice,"No matter how long we exist, we have our memories. Points in time which time itself cannot erase. Suffering may distort my backward glances, but even to suffering, some memories will yield nothing of ther beauty or their splendor. Rather they remain as hard as gems."
Anne Rice,"The young know how truly difficult and dreadful youth can be. Their youth is wasted on everyone else, that's the horror. The young have no authority, no respect."
Anne Rice,"Evil is a point of view. God kills indiscriminately and so shall we. For no creatures under God are as we are, none so like him as ourselves."
Anne Rice,"Evil is always possible, and goodness is eternally difficult."
Anne Rice,"Nothing in all the world is so nonsensical and contradictory, save mortals, that is, who live in the grip of the superstitions of the past."
Pamela Ribon,Having a holiday weekend without a family member felt like putting on a sweater that had an extra arm.
Pamela Ribon,It's sad when our daddies die. Makes us one less person inside.
Pamela Ribon,When something that honest is said it usually needs a few minutes of silence to dissipate.
Pamela Ribon,"When you live in Texas, every single time you see snow it’s magical."
Sir Joshua Reynolds,"If you have great talents, industry will improve them; if you have but moderate abilities, industry will supply their deficiency."
Jean Francois Revel,"Clearly, a civilization that feels guilty for everything it is and does will lack the energy and conviction to defend itself."
Agnes Repplier,It is in his pleasure that a man really lives; it is from his leisure that he constructs the true fabric of self.
Agnes Repplier,"It is not easy to find happiness in ourselves, and it is not possible to find it elsewhere."
Agnes Repplier,There are few nudities so objectionable as the naked truth.
Agnes Repplier,We cannot really love anybody with whom we never laugh.
James Reston,This is the devilish thing about foreign affairs: they are foreign and will not always conform to our whim.
Cardinal de Retz,A man who doesn't trust himself can never truly trust anyone else.
Eike von Repkow,"He who comes first, eats first. [Familiar as: First come first served.]"
Mary Renault,"It is bitter to lose a friend to evil, before one loses him to death."
Flavius Vegetius Renatus,Let him who desires peace prepare for war.
Jules Renard,Be modest! It is the kind of pride least likely to offend.
Jules Renard,Failure is not the only punishment for laziness; there is also the success of others.
Jules Renard,"I am not sincere, even when I say I am not."
Jules Renard,"I don't know if God exists, but it would be better for His reputation if He didn't."
Jules Renard,Laziness is nothing more than the habit of resting before you get tired.
Jules Renard,Literature is an occupation in which you have to keep proving your talent to people who have none.
Jules Renard,Look for the ridiculous in everything and you will find it.
Jules Renard,The only man who is really free is the one who can turn down an invitation to dinner without giving an excuse.
Jules Renard,Writing is the only profession where no one considers you ridiculous if you earn no money.
Ernest Renan,The simplest schoolboy is now familiar with truths for which Archimedes would have sacrificed his life.
David Reisman,Look at all the sentences which seem true and question them.
Carl Reiner,A lot of people like snow. I find it to be an unnecessary freezing of water.
Kate Reid,"Acting is not being emotional, but being able to express emotion."
Chuck Reid,"In theory, there is no difference between theory and practice; In practice, there is."
Christopher Reeve,Either you decide to stay in the shallow end of the pool or you go out in the ocean.
Christopher Reeve,I think a hero is an ordinary individual who finds strength to persevere and endure in spite of overwhelming obstacles.
Christopher Reeve,"So many of our dreams at first seem impossible, then they seem improbable, and then, when we summon the will, they soon become inevitable."
Christopher Reeve,We live in a time when the words impossible and unsolvable are no longer part of the scientific community's vocabulary. Each day we move closer to trials that will not just minimize the symptoms of disease and injury but eliminate them.
Robert Redford,If you stay in Beverly Hills too long you become a Mercedes.
William C. Redfield,"Facts have a cruel way of substituting themselves for fancies. There is nothing more remorseless, just as there is nothing more helpful, than truth."
Ronald Reagan,Abortion is advocated only by persons who have themselves been born.
Ronald Reagan,"Above all, we must realize that no arsenal, or no weapon in the arsenals of the world, is so formidable as the will and moral courage of free men and women. It is a weapon our adversaries in today's world do not have."
Ronald Reagan,All great change in America begins at the dinner table.
Ronald Reagan,"Coersion, after all, merely captures man. Freedom captivates him."
Ronald Reagan,Don't be afraid to see what you see.
Ronald Reagan,Entrepreneurs and their small enterprises are responsible for almost all the economic growth in the United States.
Ronald Reagan,Facts are stupid things.
Ronald Reagan,"Freedom is never more than one generation away from extinction. We didn't pass it to our children in the bloodstream. It must be fought for, protected, and handed on for them to do the same, or one day we will spend our sunset years telling our children and our children's children what it was once like in the United States where men were free."
Ronald Reagan,Freedom is one of the deepest and noblest aspirations of the human spirit.
Ronald Reagan,"How do you tell a communist? Well, it's someone who reads Marx and Lenin. And how do you tell an anti-Communist? It's someone who understands Marx and Lenin."
Ronald Reagan,"I call upon the scientific community in our country, those who gave us nuclear weapons, to turn their great talents now to the cause of mankind and world peace: to give us the means of rendering these nuclear weapons impotent and obsolete."
Ronald Reagan,I don't believe in a government that protects us from ourselves.
Ronald Reagan,"I have left orders to be awakened at any time in case of national emergency, even if I'm in a cabinet meeting."
Ronald Reagan,I know in my heart that man is good.
Ronald Reagan, That what is right will always eventually triumph. 
Ronald Reagan, And there's purpose and worth to each and every life.
Ronald Reagan,"If you're afraid of the future, then get out of the way, stand aside. The people of this country are ready to move again."
Ronald Reagan,No arsenal ... is so formidable as the will and moral courage of free men and women.
Ronald Reagan,"People don't start wars, governments do."
Ronald Reagan,"Politics is not a bad profession. If you succeed there are many rewards, if you disgrace yourself you can always write a book."
Ronald Reagan,Politics is supposed to be the second oldest profession. I have come to realize that it bears a very close resemblance to the first.
Ronald Reagan,"The best minds are not in government. If any were, business would hire them away."
Nancy Reagan,I believe that people would be alive today if there were a death penalty.
Sam Rayburn,No one has a finer command of language than the person who keeps his mouth shut.
Sam Rayburn,"Son, always tell the truth. Then you'll never have to remember what you said the last time."
Marie Beyon Ray,"Begin doing what you want to do now. We are not living in eternity. We have only this moment, sparkling like a star in our hand ­ and melting like a snowflake. Let us use it before it is too late."
Marie Beyon Ray,"We have only this moment, sparkling like a star in our hand... and melting like a snowflake. Let us use it before it is too late."
Man Ray,"It has never been my object to record my dreams, just to realize them."
Marjorie Kinnan Rawlings,Sorrow was like the wind. It came in gusts.
Earl Mac Rauch,"And remember, no matter where you go, there you are."
Earl Mac Rauch,"Remember, no matter where you go, there you are."
Dan Rather,A tough lesson in life that one has to learn is that not everybody wishes you well.
Dan Rather,Americans will put up with anything provided it doesn't block traffic.
Dan Rather,An intellectual snob is someone who can listen to the William Tell Overture and not think of The Lone Ranger.
William Raspberry,"Your best shot at happiness, self-worth and personal satisfaction - the things that constitute real success - is not in earning as much as you can but in performing as well as you can something that you consider worthwhile."
Jef Raskin,"Imagine if every Thursday your shoes exploded if you tied them the usual way. This happens to us all the time with computers, and nobody thinks of complaining."
Herbert Rappaport,"I hope that while so many people are out smelling the flowers, someone is taking the time to plant some."
Chris Rapier,"I hate life, I hate death and everything in between just doesn't interest me."
Glen Raphael,"Most people believe that if you go in and try to micromanage a forest, it is possible to destroy the very thing that makes it a unique and special place. That's just as true of the Net."
Jeannette Rankin,You can no more win a war than you can win an earthquake.
Waiter Rant,Sometimes people are on the outside looking in because they don’t have any money. But sometimes people are on the outside looking in because they don’t have any class.
Waiter Rant,"Dating's like going on a job interview. You don't know if you'll get the job, but if you do, you get to see the interviewee naked."
Waiter Rant,Angels dancing on the head of a pin dissolve into nothingness at the bedside of a dying child.
Waiter Rant,Cocooned inside our private dramas we often don’t realize life is rolling by us like it should.
Waiter Rant,The inability to secure a reservation drives yuppies absolutely crazy.
Waiter Rant,"We want God to come and save us. But he won’t. God doesn’t stop levees from failing, he doesn’t stay the force of tsunamis, and he doesn’t stop planes from smashing into buildings. Deus Ex Machina is overrated."
Waiter Rant,But seduction isn’t making someone do what they don’t want to do. Seduction is enticing someone into doing what they secretly want to do already.
Waiter Rant,"Character is forged in the smallest of struggles. Then, when the big challenges come, we’re ready."
Waiter Rant,I once read cooking is something you do for your family. But when you’re alone you sometimes have to treat yourself like family. And now that my apartment’s redolent with the smell of food it feels more like a home than a box where I hang my hat.
Waiter Rant,My mom grew up in Spanish Harlem and the Bronx and gave me an invaluable piece of advice for dealing with people in New York - if someone's bugging you just act crazy. I've modified her approach somewhat. Public displays of religiosity work just as well as feigning psychosis.
Paul Rand,"Design can be art. Design can be aesthetics. Design is so simple, that's why it is so complicated."
Paul Rand,Simplicity is not the goal. It is the by-product of a good idea and modest expectations.
Ayn Rand,Guilt is a rope that wears thin.
Ayn Rand,Happiness is that state of consciousness which proceeds from the achievement of one's values.
Ayn Rand,"Learn to value yourself, which means: to fight for your happiness."
Ayn Rand,Thanksgiving is a typically American holiday...The lavish meal is a symbol of the fact that abundant consumption is the result and reward of production.
Ayn Rand,The upper classes are... a nation's past; the middle class is its future.
Ayn Rand,"I need no warrant for being, and no word of sanction upon my being. I am the warrant and the sanction."
Ayn Rand,"I swear by my life and my love of it that I will never live for the sake of another man, nor ask another man to live for mine."
Ayn Rand,"Pride is the recognition of the fact that you are your own highest value and, like all of man’s values, it has to be earned."
Ayn Rand,Rationality is the recognition of the fact that nothing can alter the truth and nothing can take precedence over that act of perceiving it.
Ayn Rand,"That which you call your soul or spirit is your consciousness, and that which you call 'free will' is your mind's freedom to think or not, the only will you have, your only freedom, the choice that controls all the choices you make and determines your life and your character."
Ayn Rand,"Until and unless you discover that money is the root of all good, you ask for your own destruction. When money ceases to become the means by which men deal with one another, then men become the tools of other men. Blood, whips and guns--or dollars. Take your choice--there is no other."
Ayn Rand,"It is not advisable, James, to venture unsolicited opinions. You should spare yourself the embarrassing discovery of their exact value to your listener."
Ayn Rand,The evil of the world is made possible by nothing but the sanction you give it.
Ayn Rand,"The spread of evil is the symptom of a vacuum. whenever evil wins, it is only by default: by the moral failure of those who evade the fact that there can be no compromise on basic principles."
Ayn Rand,The Argument from Intimidation is a confession of intellectual impotence.
Ramakrishna,God can be realized through all paths. All religions are true. The important thing is to reach the roof. You can reach it by stone stairs or by wooden stairs or by bamboo steps or by a rope. You can also climb up by a bamboo pole.
John W. Raper,Hit the ball over the fence and you can take your time going around the bases.
Sir Walter Raleigh,"Remember, that if thou marry for beauty, thou bindest thyself all thy life for that which perchance will neither last nor please thee one year; and when thou hast it, it will be to thee of no price at all; for the desire dieth when it is attained, and the affection perisheth when it is satisfied."
Daniel Raeburn,Facing a mirror you see merely your own countenance; facing your child you finally understand how everyone else has seen you.
John Randolph,Life is not so important as the duties of life.
John Randolph,"The principle of liberty and equality, if coupled with mere selfishness, will make men only devils, each trying to be independent that he may fight only for his own interest. And here is the need of religion and its power, to bring in the principle of benevolence and love to men."
John Randolph,Time is at once the most valuable and the most perishable of all our possessions.
Gilda Radner,"I always wanted a happy ending... Now I've learned, the hard way, that some poems don't rhyme, and some stories don't have a clear beginning, middle and end. Life is about not knowing, having to change, taking the moment and making the best of it without knowing what's going to happen next. Delicious ambiguity."
Gilda Radner,I base my fashion taste on what doesn't itch.
Gilda Radner,"While we have the gift of life, it seems to me that only tragedy is to allow part of us to die - whether it is our spirit, our creativity, or our glorious uniqueness."
N. Sri Ram,There is no wisdom without love.
Maryanne Radmacher-Hershey,May your walls know joy; May every room hold laughter and every window open to great possibility.
Marie de Rabutin-Chantal,"We cannot destroy kindred: Our chains stretch a little sometimes, but they never break."
Schlomo Rabinowitz,My mom is the most famous thing about my video blog. Everyone likes moms. People enjoy watching people's family.
Francois Rabelais,It is a kind of spiritual snobbery that makes people think they can be happy without money.
Francois Rabelais,So much is a man worth as he esteems himself.
Rebecca West,"Before a war military science seems a real science, like astronomy; but after a war it seems more like astrology."
Rebecca West,It's the soul's duty to be loyal to its own desires. It must abandon itself to its master passion.
Rebecca West,Life ought to be a struggle of desire toward adventures whose nobility will fertilize the soul.
Rebecca West,"There was a definite process by which one made people into friends, and it involved talking to them and listening to them for hours at a time."
Rebecca West,I myself have never been able to find out precisely what feminism is: I only know that people call me a feminist whenever I express sentiments that differentiate me from a doormat.
Rebecca West,An authentic work of art must start an argument between the artist and his audience.
Kanye West,If you have the opportunity to play this game of life you need to appreciate every moment. A lot of people don`t appreciate the moment until it's passed.
Kanye West,Nothing in life is promised except death.
Kanye West,We all self-conscious. I'm just the first to admit it.
Kanye West,"We buy our way out of jail but we can't buy freedom,"
Kanye West," We buy a lot of clothes when we don't really need them,"
Kanye West, Things we buy to cover up what's inside.
Kanye West,George Bush doesn't care about black people.
Kanye West,"If I was more complacent and I let things slide, my life would be easier, but you all wouldn't be as entertained. My misery is your pleasure."
Kanye West,"In America, they want you to accomplish these great feats, to pull off these David Copperfield-type stunts. You want me to be great, but you don't ever want me to say I'm great?"
Mae West,He who hesitates is a damned fool.
Mae West,His mother should have thrown him away and kept the stork.
Mae West,I generally avoid temptation unless I can't resist it.
Mae West,"Marriage is a great institution, but I'm not ready for an institution yet."
Mae West,Too much of a good thing is wonderful.
Mae West,You're never too old to become younger.
Mae West,"Between two evils, I always pick the one I never tried before."
John Wesley,"Make all you can, save all you can, give all you can."
Dick Werthimer,The purpose of life is to fight maturity.
Eudora Welty,"For the night was not impartial. No, the night loved some more than others, served some more than others."
H. G. Wells,"Adapt or perish, now as ever, is nature's inexorable imperative."
H. G. Wells,Civilization is a race between education and catastrophe.
H. G. Wells,No passion in the world is equal to the passion to alter someone else's draft.
H. G. Wells,We must not allow the clock and the calendar to blind us to the fact that each moment of life is a miracle and mystery.
H. G. Wells,"The forceps of our minds are clumsy forceps, and crush the truth a little in taking hold of it."
H. G. Wells,Human history becomes more and more a race between education and catastrophe.
H. G. Wells,Moral indignation is jealousy with a halo.
Jessamyn West,"A broken bone can heal, but the wound a word opens can fester forever."
Jessamyn West,"A taste for irony has kept more hearts from breaking than a sense of humor, for it takes irony to appreciate the joke which is on oneself."
Jessamyn West,"It is the loving, not the loved, woman who feels loveable."
Jessamyn West,People who keep journals have life twice.
Jessamyn West,"We want the facts to fit the preconceptions. When they don't, it is easier to ignore the facts than to change the preconceptions."
Ann Radcliffe,"A well-informed mind is the best security against the contagion of folly and of vice. The vacant mind is ever on the watch for relief, and ready to plunge into error, to escape from the languor of idleness."
Ann Radcliffe,"And since, in our passage through this world, painful circumstances occur more frequently than pleasing ones, and since our sense of evil is, I fear, more acute than our sense of good, we become the victims of our feelings, unless we can in some degree command them."
Ann Radcliffe,Employment is the surest antidote to sorrow.
Ann Radcliffe,"Happiness arises in a state of peace, not of tumult."
Ann Radcliffe,"I never trust people's assertions, I always judge of them by their actions."
Ann Radcliffe,"I tasted too what was called the sweet of revenge - but it was transient, it expired even with the object, that provoked it."
Ann Radcliffe,"If the weak hand, that has recorded this tale, has, by its scenes, beguiled the mourner of one hour of sorrow, or, by its moral, taught him to sustain it - the effort, however humble, has not been vain, nor is the writer unrewarded."
Ann Radcliffe,"It is dismal coming home, when there is nobody to welcome one!"
